# StartTime = 02/03/2026 11:20:39.6323 AM
Time (sec), Vehicle speed (MPH), Mass air flow rate (lb/min), Latitude (deg), Longitude (deg), Trip Fuel Economy (MPG), Total Fuel Economy (MPG), Fuel Rate (gal/hr), Total CO2 (lbs), CO2 flow (lb/min), Instant Fuel Economy (MPG), Instant CO2 rate (lb/mile), Fuel system 1 status, Fuel system 2 status, Calculated load value (%), Engine coolant temperature (°F), Short term fuel % trim - Bank 1 (%), Long term fuel % trim - Bank 1 (%), Engine RPM (RPM), Intake manifold absolute pressure (inHg), Mass air flow rate (lb/min), Intake air temperature (°F), O2 voltage (Bank 1  Sensor 2) (V), Short term fuel trim (Bank 1  Sensor 2) (%)
-0.529,0,0.866565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.223,0,0.817614,42.0817,-73.95536,0,0,0,0,0,0,0,2,0,32.156864,59,4.6875,8.59375,1212,9.449632,0.77957296,15.8,0.06,4.6875
3.974,0,0.845397,42.08169,-73.95536,0,29.931276,0.54299897,775.57654,0.17734197,0,0,2,0,32.156864,59,4.6875,8.59375,1203,9.744933,0.8855703,15.8,0.05,4.6875
6.865,0,0.824229,42.08169,-73.95536,0,29.930882,0.56145036,775.5868,0.18336815,0,0,2,0,31.764706,59,4.6875,8.59375,1215,9.449632,0.86730075,15.8,0.155,4.6875
9.367,0,0.824229,42.081688,-73.95535,0,29.93059,0.54739213,775.59436,0.17877677,0,0,2,0,31.764706,59,4.6875,8.59375,1213,9.449632,0.8658731,15.8,0.075,4.6875
11.979,0,0.853335,42.081684,-73.95536,0,29.93031,0.54739213,775.6016,0.17877677,0,0,2,0,31.764706,59,4.6875,8.59375,1202,9.449632,0.85802096,15.8,0.21,4.6875
14.422,0,0.796446,42.081688,-73.95536,0,29.930017,0.5667222,775.6092,0.18508992,0,0,2,0,32.941177,59,5.46875,8.59375,1252,9.449632,0.89371234,15.8,0.285,7.8125
17.049,0,0.817614,42.08169,-73.95536,0,29.929707,0.52894074,775.61725,0.17275059,0,0,2,0,41.960785,59,7.03125,8.59375,969,13.288545,0.97270185,15.8,0.82,3.90625
19.490,1.8641136,0.981666,42.08169,-73.95534,0,29.92943,0.54299897,775.6244,0.17734197,0,0,2,0,45.882355,59,7.03125,8.59375,1015,13.288545,1.0188776,15.8,0.07,7.03125
22.074,0.6213712,0.981666,42.081696,-73.95533,0.4108506,29.929125,0.6519502,775.6332,0.21292514,2.8592882,6.853396,2,0,44.705883,59,5.46875,8.59375,977,13.288545,0.98073244,15.8,0.795,4.6875
24.520,0,1.034586,42.081696,-73.95532,0.479332,29.928799,0.6519502,775.64185,0.21292514,0.9530961,20.560188,2,0,45.490196,59,5.46875,8.59375,988,12.993244,0.969735,15.8,0.8,4.6875
27.102,0,0.998865,42.081696,-73.95533,0.41839504,29.92841,0.68709576,775.652,0.22440359,0,0,2,0,45.490196,59,5.46875,8.59375,993,13.288545,0.99679357,15.8,0.265,4.6875
29.533,1.2427424,1.062369,42.0817,-73.95531,0.37678432,29.92807,0.6633725,775.66077,0.21665564,0,0,2,0,50.980392,59,-0.78125,8.59375,1075,14.174448,1.1510472,15.8,0.04,4.6875
32.112,3.7282271,1.100736,42.08171,-73.955246,0.5105601,29.927729,0.7055472,775.67017,0.23042977,1.7613881,11.125223,2,0,43.92157,59,4.6875,8.59375,1046,12.697943,1.0033295,15.8,0.465,4.6875
